experiment_id,iteration,source,model,model_safe,temperature,env_id,mean_reward,std_reward,min_reward,max_reward,total_env_steps,n_failures,best_mean_reward_so_far,best_iteration_so_far,is_best,status,policy_path,trace_path,prompt_path,eval_path
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,0,best_one_shot,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1184.0248940708968,236.40123672558187,,,0,0,-1184.0248940708968,0,True,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter000_initial_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/qwen2_5-coder_7b/sensory_motor_traces/one_shot_Pendulum-v1_qwen2_5-coder_7b_temp0.4_attempt2_20260626_155759_trace.jsonl,,
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,1,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1142.941739375412,273.7974952883544,-1497.707105487429,-665.9589727662125,2000,0,-1142.941739375412,1,True,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter001_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter001_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter001_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter001_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,2,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1245.9668640898471,172.57167899716808,-1497.707105487429,-979.1277846479292,2000,0,-1142.941739375412,1,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter002_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter002_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter002_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter002_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,3,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1099.2781180667748,362.0315671875149,-1497.707105487429,-421.38485110166687,2000,0,-1099.2781180667748,3,True,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter003_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter003_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter003_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter003_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,4,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-995.2921101862436,520.9414250505957,-1497.707105487429,-4.983685976107479,2000,0,-995.2921101862436,4,True,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter004_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter004_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter004_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter004_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,5,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-995.1568236578504,520.811091562665,-1496.3542402034986,-4.983685976107479,2000,0,-995.1568236578504,5,True,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter005_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter005_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter005_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter005_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,6,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1075.817404958299,413.2837037326314,-1496.3542402034986,-4.983685976107479,2000,0,-995.1568236578504,5,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter006_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter006_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter006_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter006_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,7,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1121.9496848258634,432.0184652748453,-1496.3542402034986,-2.6686218115812164,2000,0,-995.1568236578504,5,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter007_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter007_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter007_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter007_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,8,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1033.7211658452866,523.5023627286146,-1496.3542402034986,-3.976365934727756,2000,0,-995.1568236578504,5,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter008_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter008_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter008_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter008_eval.json
refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428,9,refinement,qwen2.5-coder:7b,qwen2_5-coder_7b,0.4,Pendulum-v1,-1238.7050986838592,281.10678548650293,-1497.6573465641095,-695.9547880565594,2000,0,-995.1568236578504,5,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/policies/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter009_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/sensory_motor_traces/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter009_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/prompts/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter009_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/qwen2_5-coder_7b/eval_logs/refine_Pendulum-v1_qwen2_5-coder_7b_20260626_161428_iter009_eval.json
